local_designation ps1_designation id followup_flag_date
3J3Pjgu PS1-13dks 1234345781015205700 2013-10-03
3J3Pjhr PS1-13dki 1032548591135338700 2013-10-03
3J3Pjkv PS1-13dla 1005845621562837500 2013-10-03
3J3Pjip PS1-13dku 1000816120033618100 2013-10-04
3J3Pjiw PS1-13dkv 1002534710015101000 2013-10-04
3J3Pjjt PS1-13dky 1010249050004430800 2013-10-04
3J3Pjjw PS1-13dkx 1005621290011030600 2013-10-04
3J3Pjjh PS1-13dkz 1012751380002201500 2013-10-04
3J3Pjke PS1-13dle 1030315530121329700 2013-10-05
3J3Pjkt PS1-13dlf 1030909070113532700 2013-10-05
3J3Pjkc PS1-13dlb 1002210881072510100 2013-10-05
3J3Pjll PS1-13dly 1225459011363704900 2013-10-06
3J3Pjla PS1-13dlm 1005619141343036200 2013-10-06
3J3Pjlx PS1-13dls 1014442721390655300 2013-10-06
3J3Pjlp PS1-13dlu 1024208941390650400 2013-10-06
3J3Pjkw PS1-13dln 1005823021421857600 2013-10-06
3J3Pjlq PS1-13dlt 1023350751443737100 2013-10-06
3J3Pjlo PS1-13dlv 1024822641412902400 2013-10-06
3J3Pjln PS1-13dlw 1024833741412505700 2013-10-06
3J3Pjlw PS1-13dlr 1014408871424936100 2013-10-06
3J3Pjlc PS1-13dll 1004147051414410800 2013-10-06
3J3Pjkz PS1-13dlo 1233221321480048300 2013-10-06
3J3Pjlh PS1-13dlz 1224117771261804900 2013-10-07
3J3Pjld PS1-13dlp 1230227001303447300 2013-10-07
3J3Pjle PS1-13dlq 1233319641555910500 2013-10-07
3J3Pjli PS1-13dma 1005048480102218500 2013-10-09
3J3Pjly PS1-13dmd 1010409280004525500 2013-10-09
3J3Pjlk PS1-13dmb 1005959360005156700 2013-10-09
3J3Pjlg PS1-13dmc 1015429131071722000 2013-10-09
3J3Pjnn PS1-13dmm 1215208070160204500 2013-10-11
3J3Pjnf PS1-13dmn 1221316490143731700 2013-10-11
3J3Pjmi PS1-13dmt 1230307170092845400 2013-10-11
3J3Pjmz PS1-13dnd 1233416390065423800 2013-10-11
3J3Pjnc PS1-13dmu 1230630510054111100 2013-10-11
3J3Pjmx PS1-13djr 1232939650001952500 2013-10-11
3J3Pjms PS1-13dme 999248760011033800 2013-10-11
3J3Pjmn PS1-13dng 1234015500035455200 2013-10-11
3J3Pjmw PS1-13dne 1233902851015541900 2013-10-11
3J3Pjmc PS1-13dmg 1001139180010354500 2013-10-11
3J3Pjmm PS1-13dmw 1231343541154738500 2013-10-11
3J3Pjmo PS1-13dmz 1231956871025731200 2013-10-11
3J3Pjmy PS1-13dnb 1232827591003532800 2013-10-11
3J3Pjmh PS1-13dmp 1223407581152647300 2013-10-11
3J3Pjmr PS1-13dmy 1231735031165620100 2013-10-11
3J3Pjmj PS1-13dnf 1234015071005717300 2013-10-11
3J3Pjne PS1-13dms 1230122271025411800 2013-10-11
3J3Pjmk PS1-13dna 1232554371184446200 2013-10-11
3J3Pjme PS1-13dmi 1023326771462727100 2013-10-11
3J3Pjmt PS1-13dmo 1223147751203632600 2013-10-11
3J3Pjmp PS1-13dmq 1224026761212208800 2013-10-11
3J3Pjmg PS1-13dmf 1000555761003259500 2013-10-11
3J3Pjnb PS1-13dmx 1231519081213237400 2013-10-11
3J3Pjml PS1-13dmr 1224108221220904600 2013-10-11
3J3Pjmd PS1-13dmk 1024626191471314000 2013-10-11
3J3Pjlz PS1-13dmh 1013950081483901200 2013-10-11
3J3Pjmu PS1-13dmj 1024512211465658400 2013-10-11
3J3Pjoq PS1-13dnh 1015904291523522200 2013-10-11
3J3Pjoj PS1-13dnj 1013611571333701400 2013-10-14
3J3Pjow PS1-13dnm 1011254971005847000 2013-10-16
3J3Pjoy PS1-13dnp 1070256731115427000 2013-10-17
3J3Pjpa PS1-13dnn 1065320091102901500 2013-10-17
3J3Pjpg PS1-13dnr 1230937821441655100 2013-10-17
3J3Pjox PS1-13dnq 1232404011514318000 2013-10-17
3J3Pjpn PS1-13dns 1064847641151624800 2013-10-18
3J3Pjtt PS1-13dnt 1004541951470124200 2013-10-18
3J3Pjtr PS1-13dnu 1021415721493816200 2013-10-18
3J3Pjvw PS1-13dnv 1064655701192632500 2013-10-21
3J3Pjty PS1-13dnz 1073419791220433600 2013-10-21
3J3Pjvm PS1-13doj 1082417291263943600 2013-10-21
3J3Pjur PS1-13doc 1075846991270515700 2013-10-21
3J3Pjud PS1-13dnw 1072203721280939800 2013-10-21
3J3Pjtw PS1-13dny 1073305321233658100 2013-10-21
3J3Pjtz PS1-13dob 1075044431234943100 2013-10-21
3J3Pjuc PS1-13doh 1082147051295106000 2013-10-21
3J3Pjtu PS1-13doe 1080802481252514700 2013-10-21
3J3Pjua PS1-13dod 1075900261272859600 2013-10-21
3J3Pjue PS1-13doa 1074054321232944400 2013-10-21
3J3Pjvs PS1-13dnx 1072306461284139500 2013-10-21
3J3Pjtx PS1-13dog 1082021261291734500 2013-10-21
3J3Pjwv PS1-13don 1222135071633736800 2013-10-23
3J3Pjwk PS1-13doo 1223951021642859300 2013-10-23
3J3Pjwm PS1-13dop 1225247501650559800 2013-10-23
3J3Pjxg PS1-13dos 1010705380281727000 2013-10-24
3J3Pjxh PS1-13dou 1014956290274904400 2013-10-24
3J3Pjxi PS1-13dow 1015154630241902500 2013-10-24
3J3Pjxj PS1-13dor 1010528500222801900 2013-10-24
3J3Pkst PS1-13dpq 1022514790231035300 2013-10-24
3J3Pjxk PS1-13dox 1023103760200849300 2013-10-24
3J3Pksr PS1-13dps 1031620680182456800 2013-10-24
3J3Pjxm PS1-13dov 1015013760165419300 2013-10-24
3J3Pjxl PS1-13doy 1023228490170218300 2013-10-24
3J3Pksx PS1-13dqc 1011712800153119800 2013-10-24
3J3Pksu PS1-13dpr 1023958150172355700 2013-10-24
3J3Pjxp PS1-13dpa 1225143420072650500 2013-10-24
3J3Pjxo PS1-13doq 1002814540033756500 2013-10-24
3J3Pjxv PS1-13doz 1225059500005214900 2013-10-24
3J3Pkso PS1-13dpu 1224824990040423300 2013-10-24
